t_ms,ax,ay,az,gx,gy,gz
7645534,-0.013671875,-0.018798828125,0.9991455078125,1.953125,2.13623046875,3.0517578125
7645543,-0.013427734375,-0.02099609375,0.9937744140625,2.01416015625,2.13623046875,3.173828125
7645551,-0.0150146484375,-0.0185546875,0.9945068359375,1.89208984375,2.0751953125,3.11279296875
7645560,-0.01416015625,-0.0118408203125,1.0013427734375,1.89208984375,2.0751953125,2.86865234375
7645568,-0.0201416015625,-0.0048828125,1.0013427734375,1.953125,1.89208984375,2.86865234375
7645577,-0.023193359375,-0.003662109375,0.99755859375,1.64794921875,2.13623046875,2.99072265625
7645586,-0.02001953125,-0.0030517578125,1.0006103515625,1.89208984375,2.01416015625,3.11279296875
7645594,-0.022705078125,-0.0059814453125,1.0013427734375,2.0751953125,2.197265625,3.0517578125
7645603,-0.018798828125,-0.01220703125,0.996337890625,2.01416015625,2.197265625,3.0517578125
7645611,-0.0218505859375,-0.0047607421875,0.997802734375,2.0751953125,1.89208984375,3.0517578125
7645620,-0.0247802734375,-0.009521484375,0.998779296875,2.01416015625,2.0751953125,3.11279296875
7645630,-0.0201416015625,-0.023681640625,0.991455078125,2.197265625,2.197265625,3.11279296875
7645637,-0.0142822265625,-0.0260009765625,0.9908447265625,1.953125,2.01416015625,3.11279296875
7645645,-0.00634765625,-0.0272216796875,0.993408203125,2.0751953125,2.197265625,3.11279296875
7645654,-0.0179443359375,-0.0150146484375,1.0069580078125,2.0751953125,2.0751953125,2.99072265625
7645662,-0.0242919921875,-0.0018310546875,0.9991455078125,1.77001953125,2.01416015625,3.11279296875
7645671,-0.0291748046875,0.0030517578125,1.006591796875,1.77001953125,2.0751953125,3.11279296875
7645680,-0.033203125,-0.00146484375,1.0029296875,1.953125,2.13623046875,3.23486328125
7645688,-0.0223388671875,0.0067138671875,0.99658203125,1.708984375,2.25830078125,3.173828125
7645697,-0.0169677734375,-0.006591796875,1.011474609375,2.197265625,2.25830078125,3.11279296875
7645705,-0.0123291015625,-0.0047607421875,0.9974365234375,2.01416015625,2.13623046875,3.2958984375
7645714,-0.0133056640625,-0.02001953125,1.00048828125,1.953125,2.3193359375,3.2958984375
7645722,-0.0107421875,-0.01904296875,0.9862060546875,1.953125,2.13623046875,3.0517578125
7645731,-0.0140380859375,-0.025634765625,0.99951171875,1.953125,2.01416015625,3.11279296875
7645739,-0.0126953125,-0.0220947265625,0.98974609375,2.01416015625,1.953125,3.11279296875
7645748,-0.015380859375,-0.01220703125,1.0003662109375,1.708984375,2.01416015625,3.173828125
7645758,-0.0230712890625,-0.0137939453125,1.001708984375,2.01416015625,1.953125,3.11279296875
7645765,-0.023193359375,-0.0009765625,0.9981689453125,1.708984375,2.3193359375,3.11279296875
7645774,-0.028564453125,-0.0059814453125,1.0054931640625,2.197265625,2.197265625,3.0517578125
7645782,-0.0252685546875,-0.0003662109375,0.997802734375,1.953125,2.197265625,3.11279296875
7645791,-0.02490234375,-0.0054931640625,1.005126953125,2.197265625,2.197265625,3.173828125
7645799,-0.019287109375,-0.0042724609375,0.9964599609375,1.89208984375,2.13623046875,3.2958984375
7645808,-0.014892578125,-0.0135498046875,1.0008544921875,2.0751953125,2.13623046875,3.11279296875
7645816,-0.0120849609375,-0.0174560546875,0.9952392578125,2.25830078125,2.197265625,3.173828125
7645825,-0.0078125,-0.01611328125,1.0,1.89208984375,2.197265625,3.23486328125
7645834,-0.01416015625,-0.0234375,0.99609375,2.13623046875,2.197265625,3.0517578125
7645842,-0.014892578125,-0.0157470703125,0.9898681640625,1.89208984375,2.197265625,3.11279296875
7645850,-0.01904296875,-0.0166015625,1.0010986328125,2.25830078125,2.0751953125,3.173828125
7645859,-0.0211181640625,-0.002197265625,0.9974365234375,1.8310546875,1.953125,2.9296875
7645868,-0.0234375,-0.0020751953125,1.0048828125,1.953125,2.01416015625,3.11279296875
7645876,-0.025146484375,0.0006103515625,1.000732421875,1.89208984375,2.0751953125,3.173828125
7645886,-0.0238037109375,-0.0037841796875,1.00244140625,1.953125,2.197265625,3.173828125
7645893,-0.0233154296875,-0.011474609375,0.99951171875,2.197265625,2.13623046875,3.173828125
7645902,-0.01708984375,-0.0167236328125,0.99267578125,2.0751953125,2.197265625,3.173828125
7645910,-0.0128173828125,-0.0240478515625,0.9964599609375,2.197265625,2.0751953125,3.173828125
7645919,-0.0107421875,-0.019287109375,0.9927978515625,1.953125,2.13623046875,3.0517578125
7645927,-0.013671875,-0.0224609375,0.99853515625,2.01416015625,2.13623046875,3.0517578125
7645936,-0.013427734375,-0.0107421875,0.9962158203125,1.8310546875,2.13623046875,3.2958984375
7645945,-0.0164794921875,-0.005126953125,1.004150390625,1.8310546875,2.0751953125,3.0517578125
7645953,-0.02099609375,-0.0001220703125,1.00048828125,1.953125,1.953125,3.11279296875
7645962,-0.0235595703125,-0.0013427734375,1.0006103515625,1.953125,2.13623046875,3.0517578125
7645970,-0.0220947265625,-0.00927734375,1.005615234375,2.197265625,2.0751953125,3.173828125
7645979,-0.017578125,-0.0128173828125,0.99560546875,1.8310546875,2.0751953125,2.99072265625
7645987,-0.0157470703125,-0.0174560546875,0.9930419921875,1.953125,2.13623046875,3.173828125
7645995,-0.0152587890625,-0.0155029296875,0.9984130859375,1.89208984375,2.13623046875,3.23486328125
7646004,-0.01611328125,-0.016845703125,0.9998779296875,1.953125,2.0751953125,3.11279296875
7646014,-0.018798828125,-0.0166015625,0.995849609375,2.01416015625,2.13623046875,3.0517578125
7646021,-0.01806640625,-0.0107421875,0.998046875,1.89208984375,2.13623046875,3.11279296875
7646030,-0.019287109375,-0.0078125,1.00048828125,1.89208984375,2.13623046875,3.173828125
7646039,-0.0224609375,-0.0020751953125,0.998291015625,1.89208984375,2.25830078125,3.0517578125
7646047,-0.0238037109375,-0.00341796875,1.0013427734375,1.89208984375,2.13623046875,3.0517578125
7646056,-0.0213623046875,-0.007568359375,1.0045166015625,2.0751953125,2.3193359375,3.23486328125
7646064,-0.02001953125,-0.0118408203125,1.000244140625,1.953125,2.197265625,3.2958984375
7646073,-0.0186767578125,-0.01513671875,0.9915771484375,1.953125,2.0751953125,3.23486328125
7646081,-0.0146484375,-0.01708984375,0.996826171875,2.01416015625,2.197265625,3.35693359375
7646090,-0.0137939453125,-0.01904296875,1.00048828125,2.197265625,2.0751953125,3.173828125
7646098,-0.0135498046875,-0.013916015625,0.994873046875,1.953125,2.13623046875,3.11279296875
7646107,-0.015625,-0.010986328125,1.001953125,1.77001953125,2.0751953125,3.23486328125
7646115,-0.0198974609375,-0.005126953125,1.0003662109375,1.89208984375,2.01416015625,3.173828125
7646124,-0.023681640625,-0.0096435546875,1.000244140625,1.89208984375,2.13623046875,3.11279296875
7646132,-0.025146484375,-0.010009765625,0.99853515625,1.953125,2.13623046875,3.11279296875
7646142,-0.0250244140625,-0.0101318359375,0.999267578125,1.89208984375,2.197265625,3.0517578125
7646149,-0.0242919921875,-0.0087890625,0.9998779296875,1.89208984375,2.0751953125,3.2958984375
7646158,-0.022705078125,-0.0081787109375,1.000244140625,1.708984375,2.25830078125,3.23486328125
7646167,-0.0220947265625,-0.00927734375,1.0006103515625,1.953125,2.25830078125,3.23486328125
7646175,-0.0194091796875,-0.0089111328125,0.998779296875,1.89208984375,2.25830078125,3.173828125
7646184,-0.015380859375,-0.0128173828125,1.000732421875,1.953125,2.25830078125,3.23486328125
7646192,-0.0107421875,-0.014892578125,0.9979248046875,1.89208984375,2.197265625,3.11279296875
7646201,-0.0069580078125,-0.0169677734375,0.9969482421875,1.953125,2.197265625,3.0517578125
7646210,-0.007080078125,-0.0145263671875,0.99951171875,1.8310546875,2.25830078125,2.9296875
7646218,-0.00830078125,-0.01025390625,0.9989013671875,1.89208984375,2.13623046875,3.0517578125
7646226,-0.014404296875,-0.0079345703125,0.996337890625,2.0751953125,2.13623046875,3.0517578125
7646235,-0.0179443359375,-0.004150390625,1.0025634765625,2.0751953125,2.0751953125,3.173828125
7646243,-0.0225830078125,-0.00537109375,1.007080078125,2.13623046875,2.13623046875,3.0517578125
7646254,-0.0250244140625,-0.00146484375,1.000244140625,1.89208984375,2.0751953125,3.35693359375
7646260,-0.028076171875,-0.0091552734375,0.9990234375,2.01416015625,2.01416015625,3.2958984375
7646270,-0.0255126953125,-0.013916015625,1.0,2.01416015625,2.01416015625,3.173828125
7646277,-0.02392578125,-0.0177001953125,0.9949951171875,2.0751953125,1.953125,3.0517578125
7646286,-0.020751953125,-0.019287109375,0.998046875,1.953125,1.953125,3.11279296875
7646295,-0.0189208984375,-0.018798828125,0.999755859375,2.01416015625,2.0751953125,3.23486328125
7646303,-0.0179443359375,-0.0128173828125,0.99609375,1.8310546875,2.25830078125,3.173828125
7646312,-0.0177001953125,-0.009521484375,0.999267578125,1.77001953125,2.25830078125,2.99072265625
7646320,-0.01904296875,-0.0050048828125,1.0006103515625,1.8310546875,2.3193359375,3.173828125
7646329,-0.0155029296875,-0.0015869140625,1.0020751953125,1.953125,2.38037109375,3.173828125
7646338,-0.01611328125,-0.0018310546875,1.0091552734375,1.953125,2.25830078125,3.0517578125
7646346,-0.0137939453125,-0.0032958984375,0.9998779296875,1.8310546875,2.0751953125,2.9296875
7646355,-0.0126953125,-0.008544921875,0.9949951171875,1.89208984375,2.01416015625,3.173828125
7646363,-0.0145263671875,-0.0162353515625,1.0001220703125,1.89208984375,2.0751953125,3.173828125
7646372,-0.0142822265625,-0.0167236328125,0.998779296875,2.01416015625,1.953125,3.173828125
7646382,-0.0172119140625,-0.0157470703125,0.99169921875,1.89208984375,1.89208984375,3.11279296875
7646389,-0.0201416015625,-0.01171875,0.998046875,1.953125,1.953125,3.11279296875
7646397,-0.0230712890625,-0.0120849609375,1.000244140625,1.953125,1.953125,3.0517578125
7646406,-0.0220947265625,-0.005615234375,0.9964599609375,1.708984375,2.01416015625,3.0517578125
7646414,-0.0234375,-0.007568359375,1.0029296875,1.77001953125,2.0751953125,3.11279296875
7646423,-0.0223388671875,-0.0057373046875,0.9984130859375,1.8310546875,2.0751953125,3.0517578125
7646432,-0.0225830078125,-0.009521484375,0.9981689453125,1.89208984375,2.13623046875,3.0517578125
7646440,-0.01904296875,-0.0128173828125,1.00927734375,2.197265625,2.13623046875,3.11279296875
7646448,-0.0179443359375,-0.014892578125,1.0081787109375,1.953125,2.13623046875,3.0517578125
7646457,-0.0172119140625,-0.0123291015625,0.9979248046875,1.77001953125,1.89208984375,2.99072265625
7646466,-0.0179443359375,-0.0078125,0.9901123046875,1.77001953125,1.77001953125,3.0517578125
7646474,-0.0208740234375,-0.0111083984375,0.9896240234375,1.953125,1.89208984375,3.23486328125
7646483,-0.017333984375,-0.0098876953125,0.993408203125,2.01416015625,2.01416015625,3.173828125
7646491,-0.015625,-0.009521484375,1.005859375,2.01416015625,2.3193359375,3.173828125
7646500,-0.0174560546875,-0.0091552734375,1.007080078125,2.13623046875,2.13623046875,3.11279296875
7646510,-0.018798828125,-0.0098876953125,0.9967041015625,2.01416015625,2.01416015625,3.173828125
7646517,-0.0208740234375,-0.0101318359375,0.99169921875,2.01416015625,1.953125,3.11279296875
7646526,-0.01904296875,-0.011474609375,0.9998779296875,1.953125,2.13623046875,3.173828125
7646534,-0.023193359375,-0.0120849609375,1.000244140625,1.953125,2.25830078125,3.173828125
7646542,-0.0203857421875,-0.008056640625,0.9990234375,1.953125,2.25830078125,3.173828125
7646551,-0.0240478515625,-0.010498046875,1.003662109375,2.01416015625,2.0751953125,3.173828125
7646560,-0.01904296875,-0.0072021484375,0.998291015625,1.8310546875,2.0751953125,3.0517578125
7646568,-0.0177001953125,-0.0054931640625,0.9954833984375,2.01416015625,2.0751953125,3.173828125
7646577,-0.017578125,-0.0107421875,1.000732421875,1.953125,2.01416015625,3.2958984375
7646585,-0.0140380859375,-0.0120849609375,1.00048828125,1.953125,2.25830078125,3.2958984375
7646594,-0.013671875,-0.0155029296875,0.9996337890625,2.01416015625,2.3193359375,3.2958984375
7646602,-0.015625,-0.014892578125,0.9991455078125,1.953125,2.13623046875,3.23486328125
7646611,-0.019287109375,-0.0126953125,0.996337890625,2.01416015625,2.01416015625,3.11279296875
7646619,-0.0194091796875,-0.0087890625,0.9931640625,1.8310546875,1.953125,3.173828125
7646628,-0.0238037109375,-0.0115966796875,1.002197265625,2.01416015625,2.13623046875,3.11279296875
7646637,-0.0230712890625,-0.0081787109375,1.0006103515625,1.89208984375,2.13623046875,3.173828125
7646645,-0.0242919921875,-0.0098876953125,0.99658203125,2.01416015625,2.01416015625,3.23486328125
7646653,-0.01806640625,-0.0120849609375,1.00048828125,2.01416015625,2.01416015625,3.11279296875
